date,type,registration,operator,fatalities,location,country,cat,year
24-MAR-1945,Douglas Dakota III (DC-3),FZ649,RAF,3,near Wesel,Germany,C1,1945
24-MAR-1945,Curtiss C-46D,44-77518,USAAF,,on Rhein crossin...,Germany,A1,1945
24-MAR-1945,Curtiss C-46D,44-77525,USAAF,,on Rhein crossin...,Germany,A1,1945
24-MAR-1945,Curtiss C-46D,44-77516,USAAF,,,Unknown country,A1,1945
24-MAR-1945,Douglas C-47A (DC-3),42-24102,USAAF,4,near Wesel,Germany,A1,1945
24-MAR-1945,Curtiss C-46D,44-77637,USAAF,3,near Bonninghardt,Germany,A1,1945
24-MAR-1945,Curtiss C-46D,44-77474,USAAF,,,Unknown country,A1,1945
25-MAR-1945,Douglas C-47 (DC-3),41-18694,USAAF,,near Taza,Morocco,A1,1945
25-MAR-1945,Curtiss C-46A,42-61005,USAAF,,near Yunnanyi,China,A1,1945
25-MAR-1945,Curtiss C-46D,44-77404,USAAF,,,Unknown country,U1,1945
25-MAR-1945,Curtiss C-46D,44-77376,USAAF,,,Unknown country,A1,1945
25-MAR-1945,Curtiss C-46D,42-101045,USAAF,0,near Luliang,China,A1,1945
25-MAR-1945,Consolidated PBY-5A Catalina,A24-108,RAAF,,Magee Island,Australia,A1,1945
25-MAR-1945,Douglas C-47A (DC-3),43-15205,USAAF,,within Germany,Germany,A1,1945
25-MAR-1945,Douglas Dakota IV (DC-3),KK170,RAF,,Maunubyin Airport,Myanmar,A1,1945
25-MAR-1945,Douglas C-47A (DC-3),43-15841,USAAF,,Leonokow,China,A1,1945
26-MAR-1945,Douglas C-47B (DC-3),43-16316,USAAF,,"near Tanauan, Leyte I...",Philippines,A1,1945
26-MAR-1945,Curtiss C-46D,44-77472,USAAF,,,Unknown country,A1,1945
26-MAR-1945,Douglas C-47A (DC-3),42-24392,USAAF,,unknown,Unknown country,U1,1945
27-MAR-1945,Curtiss C-46A,43-47158,USAAF,0,,Myanmar,A1,1945
27-MAR-1945,Douglas C-47A (DC-3),43-16011,USAAF,24,,P.N. Guinea,A1,1945
27-MAR-1945,Consolidated C-87,44-39293,USAAF,,Kunming-Wujiaba ...,China,A1,1945
28-MAR-1945,Curtiss C-46D,44-77347,USAAF,,,Unknown country,A1,1945
28-MAR-1945,Curtiss C-46D,44-77556,USAAF,,,Unknown country,A1,1945
28-MAR-1945,Douglas C-47A (DC-3),42-93107,USAAF,,Napoli-Capodichi...,Italy,A1,1945
28-MAR-1945,Curtiss C-46D,44-77595,USAAF,,,Unknown country,A1,1945
28-MAR-1945,Curtiss C-46D,44-77542,USAAF,,,Unknown country,A1,1945
28-MAR-1945,Douglas Dakota IV (DC-3),KN409,RAF,4,near Irvine,U.K.,A1,1945
28-MAR-1945,Consolidated C-87,44-39286,USAAF,,Kunming-Wujiaba ...,China,A1,1945
28-MAR-1945,Douglas R4D-1 (DC-3),3132,US Navy,,El Centro-Naval ...,USA,A1,1945
29-MAR-1945,Curtiss C-46D,44-77357,USAAF,,,Unknown country,U1,1945
29-MAR-1945,Curtiss C-46A,43-47140,USAAF,0,Chinkiang Air Base,China,A1,1945
29-MAR-1945,Douglas C-47B (DC-3),43-49912,USAAF,2,Pomigliano Airfield,Italy,A1,1945
29-MAR-1945,Douglas Dakota IV (DC-3),KK121,RAF,,"near Chiringa, Assam",India,A1,1945
29-MAR-1945,Douglas C-47A (DC-3),43-15901,USAAF,2,Hsian Airfield,China,A1,1945
29-MAR-1945,Douglas Dakota IV (DC-3),KK195,RAF,,Alon Airstrip,Myanmar,A1,1945
29-MAR-1945,Douglas Dakota IV (DC-3),KN232,RAF,0,Meiktila,Myanmar,A1,1945
30-MAR-1945,Douglas C-47A (DC-3),42-93164,USAAF,,Knolwood Auxilia...,USA,A1,1945
31-MAR-1945,Curtiss C-46A,43-47149,USAAF,,Kunming Airport ...,China,A1,1945
31-MAR-1945,Curtiss C-46A,42-61018,USAAF,,Chabua,India,A1,1945
31-MAR-1945,Douglas C-47B (DC-3),43-48506,USAAF,,near Bovingdon RAF St...,U.K.,A1,1945
31-MAR-1945,Lockheed C-60A-1-LO Lodestar,42-55867,USAAF,,"near Trenton, NJ",USA,A2,1945
31-MAR-1945,Consolidated C-109,42-51615,USAAF,,Kunming-Wujiaba ...,China,A1,1945
31-MAR-1945,Douglas C-47B (DC-3),43-49140,USAAF,,unknown,Unknown country,A1,1945
31-MAR-1945,Douglas C-47B (DC-3),08,Brazilian AF,22,"Barreiras, BA",Brazil,A1,1945
01-APR-1945,Douglas C-54A (DC-4),42-72244,USAAF,,,Unknown country,U1,1945
01-APR-1945,Curtiss C-46D,44-77530,USAAF,,,Unknown country,A1,1945
01-APR-1945,Curtiss C-46D,44-77519,USAAF,,,Unknown country,A1,1945
01-APR-1945,Curtiss C-46A,42-61078,USAAF,,Dergaon,India,A1,1945
01-APR-1945,Douglas C-47 (DC-3),41-38585,USAAF,,Bhamo,Myanmar,A1,1945
01-APR-1945,Douglas C-47B (DC-3),43-16178,USAAF,0,Kunming-Wujiaba ...,China,O1,1945
01-APR-1945,Lisunov Li-2,CCCP-L4038,Aeroflot,0,near Turovets,Ukraine,A1,1945
02-APR-1945,Curtiss C-46A,42-61051,USAAF,,,Unknown country,U1,1945
02-APR-1945,Douglas C-47A (DC-3),42-100532,USAAF,,Nidda,Germany,A1,1945
02-APR-1945,Douglas C-47B (DC-3),43-16188,USAAF,,Muse Airfield,Myanmar,A1,1945
02-APR-1945,Douglas C-47B (DC-3),43-48623,USAAF,,Kutkai,Myanmar,A1,1945
02-APR-1945,Douglas C-47A (DC-3),42-92975,USAAF,,Monglong,Myanmar,A1,1945
03-APR-1945,Curtiss C-46A,43-47165,USAAF,,near Chabua Airfield,India,A1,1945
03-APR-1945,PBV-1A Canso A (PBY-5A),11066,RCAF,,near Iceland,Atlantic Ocean,A1,1945
03-APR-1945,Douglas C-47A (DC-3),43-15179,USAAF,6,near Ettinghausen,Germany,C1,1945
03-APR-1945,Douglas C-47A (DC-3),42-93520,USAAF,,unknown,Unknown country,C1,1945
04-APR-1945,Douglas C-47A (DC-3),43-16027,USAAF,,Mourmelon,France,A1,1945
04-APR-1945,Curtiss C-46A,41-24772,USAAF,,Luliang,China,A1,1945
04-APR-1945,Douglas C-47B (DC-3),43-48944,USAAF,,near Bonn,Germany,C1,1945
04-APR-1945,Douglas C-47A (DC-3),42-108985,USAAF,,unknown,Unknown country,A1,1945
04-APR-1945,Junkers Ju-252A1,DF+BW,German AF,5,near Reichenbach Airf...,Germany,A1,1945
05-APR-1945,Curtiss C-46A,43-47146,USAAF,,near Shinbwiyan,Myanmar,A1,1945
05-APR-1945,Curtiss C-46A,42-96550,USAAF,,,Unknown country,A1,1945
05-APR-1945,Curtiss C-46A,43-47213,USAAF,,,Unknown country,A1,1945
05-APR-1945,Curtiss C-46A,41-24750,USAAF,,,India,A1,1945
05-APR-1945,Douglas C-47A (DC-3),42-100483,USAAF,,"Tuao, Luzon",Philippines,A1,1945
05-APR-1945,Douglas C-47A (DC-3),43-15434,USAAF,,Pitu/Morotai Isl...,Indonesia,O1,1945
05-APR-1945,Douglas C-47A (DC-3),A65-27,RAAF,,"Pearce Airport, WA",Australia,A1,1945
05-APR-1945,Short Sunderland III,PP140,Norwegian AF,12,near Faroe Islands,Atlantic Ocean,A1,1945
06-APR-1945,Douglas C-47A (DC-3),42-23363,USAAF,,near Limburg,Germany,A1,1945
06-APR-1945,Curtiss C-46A,42-96697,USAAF,,,Unknown country,A1,1945
06-APR-1945,Douglas C-47B (DC-3),43-16358,USAAF,,unknown,Unknown country,U1,1945
06-APR-1945,Douglas C-47B (DC-3),43-16354,USAAF,,Muse Airfield,Myanmar,A1,1945
06-APR-1945,Junkers Ju-52/3m,,German AF,2,"Wrexen, Paderborn",Germany,C1,1945
06-APR-1945,Curtiss C-46D,42-96811,USAAF,,,Unknown country,A1,1945
06-APR-1945,Douglas C-47A (DC-3),43-15320,USAAF,,Gelnhausen Advan...,Germany,A1,1945
06-APR-1945,Douglas C-47B (DC-3),43-48935,USAAF,,near Limburg,Germany,A1,1945
06-APR-1945,Douglas C-47A (DC-3),42-93088,USAAF,4,near Malmedy,Belgium,A1,1945
06-APR-1945,Douglas C-47A (DC-3),42-23393,USAAF,4,near Malmedy,Belgium,A1,1945
06-APR-1945,Consolidated PBY-5A Catalina,A24-54,RAAF,,near Timor [Savu Sea],Pacific Ocean,C1,1945
06-APR-1945,Douglas C-47A (DC-3),42-92422,USAAF,5,within Hessen,Germany,A1,1945
06-APR-1945,Douglas C-47B (DC-3),43-16352,USAAF,,Dinjan Airfield,India,A1,1945
07-APR-1945,Curtiss C-46A,43-47211,USAAF,4,,China,A1,1945
07-APR-1945,Curtiss C-46A,43-47187,USAAF,2,near Lawrenceville-Ge...,USA,A1,1945
07-APR-1945,Douglas C-47A (DC-3),42-100656,USAAF,,Unknown,Unknown country,A1,1945
07-APR-1945,Douglas Dakota III (DC-3),KG762,RAF,,Myitke,Myanmar,A1,1945
08-APR-1945,Douglas C-47B (DC-3),G-AGKM,BOAC,,El Adem RAF Station,Libya,U1,1945
08-APR-1945,Curtiss C-46D,44-77466,USAAF,,,Unknown country,A1,1945
08-APR-1945,Curtiss C-46A,43-47115,USAAF,,near Ledo,India,A1,1945
08-APR-1945,Douglas C-47A (DC-3),42-100928,USAAF,,Wertheim am Main...,Germany,A1,1945
08-APR-1945,Douglas C-47A (DC-3),42-100607,USAAF,,Unknown,Unknown country,A1,1945
08-APR-1945,Douglas C-47A (DC-3),42-92788,USAAF,,Angeles City-Cla...,Philippines,A1,1945
08-APR-1945,Douglas C-47A (DC-3),43-15636,USAAF,,Wertheim am Main...,Germany,A1,1945
09-APR-1945,Douglas R5D-3 (DC-4),50872,US Navy,,Okinawa-Yontan F...,Japan,A1,1945
09-APR-1945,Douglas C-47B (DC-3),43-16135,USAAF,,near Chanyi,China,A1,1945
09-APR-1945,Douglas C-47A (DC-3),88,CNAC,3,near Kiaokie,China,A1,1945
09-APR-1945,Douglas C-47A (DC-3),42-23604,USAAF,4,within northern France,France,A1,1945
09-APR-1945,Douglas C-47A (DC-3),42-101027,USAAF,,Crailsheim-Advan...,Germany,A1,1945
10-APR-1945,Curtiss C-46A,42-60950,USAAF,,,Unknown country,A1,1945
10-APR-1945,Douglas C-47A (DC-3),43-15227,USAAF,,Achiet Advanced ...,France,A1,1945
10-APR-1945,Douglas C-47A (DC-3),42-93740,USAAF,,Lashio Airport (...,Myanmar,A1,1945
10-APR-1945,Douglas Dakota IV (DC-3),KK109,RAF,,near South Khulna,India,A1,1945
10-APR-1945,Consolidated C-109,44-49450,USAAF,,Khilpara,India,A1,1945
10-APR-1945,Douglas Dakota III (DC-3),FL538,RAF,,Barrackpore Air ...,India,A1,1945
10-APR-1945,Douglas C-47A (DC-3),42-101020,USAAF,5,Wenigenlupnitz A...,Germany,C1,1945
11-APR-1945,Curtiss C-46D,44-77604,USAAF,,,Unknown country,A1,1945
11-APR-1945,Curtiss C-46D,44-77641,USAAF,,,Unknown country,A1,1945
11-APR-1945,Junkers Ju-52/3m,,German AF,2,Nieder-Waroldern,Germany,C1,1945
11-APR-1945,Junkers Ju-52/3mg10e,4V+BN,German AF,4,near Hildesheim,Germany,C1,1945
11-APR-1945,Junkers Ju-52/3m,4V+NR,German AF,4,near Hildesheim,Germany,C1,1945
11-APR-1945,Douglas C-47A (DC-3),42-92775,USAAF,,unknown,Unknown country,C1,1945
11-APR-1945,Curtiss C-46D,44-77768,USAAF,,,Unknown country,A1,1945
11-APR-1945,Douglas TC-47B,44-76739,USAAF,4,"near Oklahoma City, OK",India,A1,1945
11-APR-1945,Curtiss C-46A,41-24730,USAAF,,,Unknown country,A1,1945
11-APR-1945,Curtiss C-46A,42-96573,USAAF,,,Unknown country,A1,1945
11-APR-1945,Douglas C-47A (DC-3),42-93391,USAAF,,Makum,India,A1,1945
11-APR-1945,Douglas C-47A (DC-3),42-24290,USAAF,,"near Ribeira, Azores",Portugal,A1,1945
11-APR-1945,Douglas C-47A (DC-3),42-93366,USAAF,,Dinjan,India,A1,1945
11-APR-1945,Douglas C-47B (DC-3),43-48734,USAAF,,Bretigny (A-48),France,A1,1945
11-APR-1945,Douglas Dakota III (DC-3),FD896,RAF,,"near Yelahanka, Mysore",India,A1,1945
12-APR-1945,Curtiss C-46A,42-101153,USAAF,,near Mohanbari Air Ba...,India,A1,1945
12-APR-1945,Curtiss C-46D,44-77352,USAAF,,,Unknown country,A1,1945
12-APR-1945,Douglas C-47A (DC-3),42-93785,USAAF,,,Italy,A1,1945
12-APR-1945,Douglas C-47A (DC-3),42-92683,USAAF,,,Italy,A1,1945
12-APR-1945,Douglas C-47A (DC-3),42-93784,USAAF,,,Italy,A1,1945
12-APR-1945,Consolidated C-109,42-51740,USAAF,,Hsinching Airfie...,China,A1,1945
12-APR-1945,Douglas C-47B (DC-3),43-49530,USAAF,,unknown,Italy,O1,1945
13-APR-1945,Curtiss C-46A,41-24757,USAAF,,,Unknown country,U1,1945
13-APR-1945,Curtiss C-46A,42-61068,USAAF,,,Unknown country,U1,1945
13-APR-1945,Douglas Dakota IV (DC-3),KJ809,RAF,,Wenigenlupnitz A...,Germany,A1,1945
13-APR-1945,Curtiss C-46D,42-101221,USAAF,4,between Chittago...,Unknown country,A1,1945
13-APR-1945,Junkers Ju-52/3m,,German AF,4,Fahrenkamp,Germany,A1,1945
13-APR-1945,Douglas C-47B (DC-3),43-48332,USAAF,,Wenigenlupnitz (...,Germany,A1,1945
13-APR-1945,PB2B-1 Catalina,NZ4031,New Zealand AF,3,Funafuti Lagoon,Tuvalu,A1,1945
13-APR-1945,Douglas C-47A (DC-3),43-15086,USAAF,6,Nieheim,Germany,A1,1945
13-APR-1945,Douglas C-47A (DC-3),42-92719,USAAF,5,near Holzminden,Germany,A1,1945
13-APR-1945,Douglas C-47A (DC-3),42-108879,USAAF,1,Bankstown Airpor...,Australia,A1,1945
13-APR-1945,Douglas C-47B (DC-3),43-16295,USAAF,,Peleliu Airfield,Palau,A1,1945
13-APR-1945,Douglas C-47A (DC-3),42-93759,USAAF,,Chengkung Airfield,China,A1,1945
13-APR-1945,Douglas Dakota IV (DC-3),KN298,RAF,,near Feni,Bangladesh,A1,1945
14-APR-1945,Douglas DC-3-313A,NC25692,Pennsylvania-Central Airlines,20,"near Morgantown, WV",USA,A1,1945
14-APR-1945,Douglas C-47B (DC-3),10,Brazilian AF,0,"Barreiras, BA",Brazil,A1,1945
14-APR-1945,Douglas C-47A (DC-3),43-30728,USAAF,,Bad Langensalza ...,Germany,A1,1945
14-APR-1945,Douglas C-47A (DC-3),42-92456,USAAF,,Le Havre Advance...,France,A1,1945
14-APR-1945,Douglas C-47A (DC-3),42-92741,USAAF,4,near Koblenz,Germany,A1,1945
14-APR-1945,Douglas C-47A (DC-3),43-15630,USAAF,,Koblenz-Winninge...,Germany,A1,1945
15-APR-1945,Curtiss C-46A,42-60958,USAAF,,,Unknown country,A1,1945
15-APR-1945,Consolidated C-87,44-39276,USAAF,,Hsinching Airfie...,China,A1,1945
15-APR-1945,Douglas C-47A (DC-3),42-100756,USAAF,,Unknown,Unknown country,A1,1945
16-APR-1945,Curtiss C-46A,42-61053,USAAF,,near Shingbwyang,Myanmar,A1,1945
16-APR-1945,Curtiss C-46D,44-77388,USAAF,,,Unknown country,A1,1945
16-APR-1945,Curtiss C-46D,44-77535,USAAF,3,Charleroi,Belgium,A1,1945
16-APR-1945,Curtiss C-46A,43-46995,USAAF,,Malir,India,A1,1945
16-APR-1945,Douglas C-47A (DC-3),43-16037,USAAF,,Gotha Nord Advan...,Germany,A1,1945
16-APR-1945,Douglas C-47B (DC-3),43-48720,USAAF,,Eisfeld Advanced...,Germany,A1,1945
16-APR-1945,Douglas C-47A (DC-3),43-15628,USAAF,,Gotha Nord Advan...,Germany,A1,1945
16-APR-1945,Douglas C-53D Skytrooper (DC-3),42-68749,USAAF,,Amiens-Advanced ...,France,A1,1945
16-APR-1945,Consolidated C-109,42-51734,USAAF,,Hsinching Airfie...,China,A1,1945
17-APR-1945,Douglas C-47A (DC-3),42-100619,USAAF,,"near Auqui Island, Mi...",Philippines,A1,1945
17-APR-1945,Curtiss C-46D,44-77464,USAAF,,,Unknown country,A1,1945
17-APR-1945,Douglas C-47A (DC-3),43-15459,USAAF,,"Dagupan, Luzon",Philippines,A1,1945
17-APR-1945,Douglas C-47A (DC-3),43-15452,USAAF,,Unknown,Unknown country,U1,1945
17-APR-1945,Douglas C-47 (DC-3),42-32870,USAAF,,unknown,Unknown country,C1,1945
18-APR-1945,Douglas C-47A (DC-3),42-92913,USAAF,,Giessen Advanced...,Germany,A1,1945
18-APR-1945,Douglas C-47A (DC-3),43-15360,USAAF,,near Ronda,Italy,A1,1945
18-APR-1945,Douglas C-47A (DC-3),42-93751,USAAF,,Lashio Airport (...,Myanmar,A1,1945
18-APR-1945,Curtiss C-46D,44-77432,USAAF,4,Austin-Bergstrom...,USA,A1,1945
18-APR-1945,Curtiss C-46D,44-77721,USAAF,4,"near Burnet, TX",USA,A1,1945
18-APR-1945,Douglas C-47A (DC-3),42-100758,USAAF,,Unknown,Unknown country,A1,1945
19-APR-1945,Douglas R4D-5 (DC-3),39067,US Navy,13,"Gooseberry Hill, WA",Australia,A1,1945
19-APR-1945,Lisunov PS-84,CCCP-L3976,Aeroflot,11,near Kielce,Poland,A1,1945
19-APR-1945,Douglas C-47A (DC-3),42-100444,USAAF,,Warazup Airstrip,Myanmar,A1,1945
19-APR-1945,Douglas Dakota IV (DC-3),KN332,RAF,6,near Vitrolles,France,A1,1945
19-APR-1945,Douglas C-47A (DC-3),42-24366,USAAF,3,Ledo Pass area,Myanmar,A1,1945
19-APR-1945,Douglas C-47B (DC-3),43-48628,USAAF,,Lashio Airport (...,Myanmar,A1,1945
19-APR-1945,PBV-1A Canso A (PBY-5A),11076,RCAF,0,"Morhiban Lake, L...",Canada,A1,1945
19-APR-1945,Junkers Ju-52/3m,,German AF,1,Dahlenwarsleben,Germany,A1,1945
20-APR-1945,Curtiss C-46D,44-77486,USAAF,,,Unknown country,A1,1945
20-APR-1945,Curtiss C-46D,44-77773,USAAF,,,Unknown country,U1,1945
20-APR-1945,Douglas C-47 (DC-3),41-18451,USAAF,25,"near Sweetwater, TX",USA,A1,1945
20-APR-1945,Consolidated PBY-5 Catalina,2390,US Navy,,Santa Rosa Islan...,USA,A1,1945
20-APR-1945,Junkers Ju-52/3m,D-ANAJ,Deutsche Lufthansa,18,Glienig/Steinreich,Germany,C1,1945
20-APR-1945,Short Sunderland III,DD855,RAF,0,"Alness, Scotland",U.K.,A1,1945
21-APR-1945,Douglas C-54A (DC-4),41-107452,American Export Airlines,,Bermuda-Kindley ...,Bermuda,A1,1945
21-APR-1945,Curtiss C-46A,42-107325,USAAF,,,Unknown country,U1,1945
21-APR-1945,Junkers Ju-52/3m,NT+NL,German AF,3,"Luckenwalde, nea...",Germany,C1,1945
21-APR-1945,Douglas C-54B (DC-4),43-17162,USAAF,,near Sinbo,Myanmar,A1,1945
21-APR-1945,Douglas C-47B (DC-3),43-48589,USAAF,5,near Bonn,Germany,A1,1945
21-APR-1945,Douglas C-47B (DC-3),43-48497,USAAF,,near Attu Island-Casc...,USA,A1,1945
21-APR-1945,Focke-Wulf Fw 200KB-1,D-ASHH,Deutsche Lufthansa,21,near Piesenkofen,Germany,A1,1945
21-APR-1945,Douglas Dakota III (DC-3),KG326,RAF,,near Dessau,Germany,A1,1945
21-APR-1945,Douglas C-47A (DC-3),43-15781,USAAF,,near Mongyai,Myanmar,A1,1945
21-APR-1945,Junkers Ju-352 Herkules,KT+VC,German AF,8,BÃ¶rnersorf,Germany,A1,1945
21-APR-1945,Junkers Ju-52/3m,NT+NL,German AF,3,"Luckenwalde, nea...",Germany,C1,1945
22-APR-1945,Curtiss C-46D,44-77392,USAAF,,,Unknown country,A1,1945
22-APR-1945,Douglas C-47A (DC-3),43-15789,USAAF,3,near Lashio,Myanmar,A1,1945
22-APR-1945,Douglas C-47A (DC-3),42-100804,USAAF,,Voisins,France,A1,1945
22-APR-1945,Douglas C-47A (DC-3),42-92927,USAAF,,unknown,Unknown country,C1,1945
23-APR-1945,Curtiss R5C-1 (C-46),39512,USMC,0,near Shanghai-Kiangwa...,China,A1,1945
23-APR-1945,Douglas C-47A (DC-3),42-93345,USAAF,1,Rumkhapalong,Bangladesh,A1,1945
23-APR-1945,Douglas C-47 (DC-3),41-18528,USAAF,,Helmstedt Advanc...,Germany,A1,1945
23-APR-1945,Douglas C-47B (DC-3),43-16304,USAAF,,Manila Airport (...,Philippines,A1,1945
23-APR-1945,Douglas C-47A (DC-3),42-92928,USAAF,,unknown,Unknown country,A1,1945
23-APR-1945,Junkers Ju-52/3m,,German AF,1,Reisbach,Germany,C1,1945
24-APR-1945,Curtiss C-46D,44-77912,USAAF,,Myitkyina North,Myanmar,A1,1945
24-APR-1945,Douglas C-47A (DC-3),43-15174,USAAF,,SchwÃ¤bisch Hall...,Germany,A1,1945
24-APR-1945,Douglas C-47A (DC-3),43-15502,USAAF,,Bayreuth Advance...,Germany,A1,1945
24-APR-1945,Douglas C-47A (DC-3),42-92459,USAAF,,Metz,France,A1,1945
24-APR-1945,Douglas C-47A (DC-3),43-15350,USAAF,,Bayreuth Advance...,Germany,A1,1945
24-APR-1945,Douglas C-47B (DC-3),43-16225,USAAF,,unknown,Unknown country,A1,1945
24-APR-1945,Douglas Dakota III (DC-3),FZ685,RAF,0,Rheine-Advanced ...,Germany,A1,1945
25-APR-1945,Curtiss C-46A,42-101132,USAAF,,,Unknown country,A1,1945
25-APR-1945,Douglas C-47A (DC-3),43-15809,USAAF,7,within Myanmar,Myanmar,A1,1945
25-APR-1945,Douglas C-47B (DC-3),43-16320,USAAF,,near Angeles City,Philippines,A1,1945
25-APR-1945,Douglas C-47A (DC-3),43-15483,USAAF,,near Angeles City,Philippines,A1,1945
26-APR-1945,Curtiss C-46D,44-77794,USAAF,,,Unknown country,A1,1945
26-APR-1945,Douglas C-47A (DC-3),43-15800,USAAF,0,Muse Airfield,Myanmar,A1,1945
26-APR-1945,Douglas C-47A (DC-3),42-100833,USAAF,,OrlÃ©ans/Bricy A...,France,A1,1945
26-APR-1945,Douglas C-47A (DC-3),42-100575,USAAF,,Unknown,Unknown country,A1,1945
26-APR-1945,Junkers Ju-52/3m,4V+GR,German AF,2,Berlin,Germany,A1,1945
27-APR-1945,Lockheed 18 Lodestar,NC33328,Page Airways,6,Washington-Natio...,USA,A1,1945
27-APR-1945,Curtiss C-46D,44-77653,USAAF,3,near Hesdin,France,A1,1945
27-APR-1945,Curtiss C-46D,44-77706,USAAF,11,"near Claude, TX",USA,A1,1945
27-APR-1945,Douglas C-47A (DC-3),42-93172,USAAF,2,near Emison Auxiliary...,USA,A1,1945
28-APR-1945,Douglas C-47A (DC-3),42-93367,USAAF,,Barrackpore Air ...,India,A1,1945
28-APR-1945,Douglas Dakota III (DC-3),KG406,RAF,5,"near Foreland, Kent",U.K.,A1,1945
29-APR-1945,Curtiss C-46A,42-101119,USAAF,3,between Chanyi a...,Unknown country,A1,1945
29-APR-1945,Douglas C-47A (DC-3),42-108941,USAAF,,near Lashio,Myanmar,A1,1945
30-APR-1945,Douglas R5D-3 (DC-4),56491,US Navy,0,Guam-Agana NAS (...,Guam,A1,1945
30-APR-1945,Curtiss C-46A,42-61010,USAAF,,,Unknown country,A1,1945
30-APR-1945,Curtiss C-46A,42-60982,USAAF,,,Unknown country,A1,1945
30-APR-1945,Curtiss C-46A,42-107329,USAAF,,,Unknown country,A1,1945
30-APR-1945,Curtiss C-46D,42-101219,USAAF,,,Unknown country,A1,1945
30-APR-1945,Lockheed C-60A-1-LO Lodestar,42-32182,USAAF,5,near Oklahoma City-Ti...,USA,A1,1945
30-APR-1945,Douglas C-47A (DC-3),43-48258,USAAF,0,Poltava Air Base,Ukraine,A1,1945
30-APR-1945,Douglas C-47B (DC-3),349047,French AF,,unknown,Unknown country,A1,1945
30-APR-1945,Douglas C-47A (DC-3),42-23874,USAAF,,Manila Airport (...,Philippines,A1,1945
30-APR-1945,Douglas C-47A (DC-3),42-23692,USAAF,,Markham Valley,Philippines,A1,1945
??-APR-1945,Junkers Ju-52/3m,GC+BK,German AF,,Wustrow/Rerik,Germany,C1,1945
??-APR-1945,Junkers Ju-52/3m,PB+UA,German AF,,,Germany,C1,1945
??-APR-1945,Douglas DC-3 (Nakajima L2D),J-BOOQ,"Dai Nippon Koku KK (Greater Japan Airways), op.for Japan Navy",,Matsuyama,Japan,A1,1945
01-MAY-1945,Douglas Dakota IV (DC-3),G-AGNA,BOAC,,Basra Internatio...,Iraq,U1,1945
01-MAY-1945,Curtiss C-46D,42-101092,USAAF,,,Unknown country,A1,1945
02-MAY-1945,Lockheed C-60A Lodestar,G-AGLI,BOAC,0,"near SikeÃ¥fjÃ¤rden, ...",Sweden,A1,1945
03-MAY-1945,Curtiss C-46A,42-96822,USAAF,,,India,A1,1945
03-MAY-1945,Douglas C-47A (DC-3),42-100897,USAAF,,Sarreguemines,France,A1,1945
03-MAY-1945,Douglas Dakota IV (DC-3),KN202,RAF,6,between Meiktila...,Myanmar,A1,1945
03-MAY-1945,Lisunov Li-2,,Aeroflot,,Gleiwitz,Poland,A1,1945
03-MAY-1945,Douglas C-47A (DC-3),43-15117,USAAF,5,near Quara,Italy,A1,1945
04-MAY-1945,Consolidated PBY-5A Catalina,48416,US Navy,7,San Francisco Ba...,USA,A1,1945
04-MAY-1945,Douglas Dakota III (DC-3),KG491,RAF,,unknown,Myanmar,A1,1945
05-MAY-1945,Douglas C-54E (DC-4),44-9043,USAAF,21,Manus Island,P.N. Guinea,A1,1945
05-MAY-1945,Douglas C-49H (DC-3-194B),44-83228,"ANA, opf USAAF",6,"near Higgins Field, Q...",Australia,A1,1945
05-MAY-1945,Douglas C-47B (DC-3),43-48869,USAAF,,near Chanyi,China,A1,1945
05-MAY-1945,Douglas R4D-5 (DC-3),17208,US Navy,,Emirau Airport (...,P.N. Guinea,A1,1945
05-MAY-1945,Douglas C-47A (DC-3),43-15496,USAAF,,Unknown,Unknown country,A1,1945
05-MAY-1945,Consolidated C-87,44-39265,USAAF,4,near Gologhat,India,A1,1945
06-MAY-1945,Curtiss C-46D,44-77861,USAAF,4,Long Man Hill,U.K.,A1,1945
06-MAY-1945,Curtiss C-46D,44-77839,USAAF,30+ 1,Hindhead,U.K.,A1,1945
06-MAY-1945,Douglas C-47B (DC-3),43-48943,USAAF,,Landau Ebenberg ...,Germany,A1,1945
06-MAY-1945,Douglas C-53D Skytrooper (DC-3),42-68695,USAAF,4,Jarny,France,A1,1945
06-MAY-1945,Douglas C-47A (DC-3),42-23586,USAAF,,Manila,Philippines,A1,1945
06-MAY-1945,Douglas C-47A (DC-3),42-100901,USAAF,,OrlÃ©ans/Bricy A...,France,A1,1945
06-MAY-1945,Douglas C-47 (DC-3),41-7748,USAAF,,unknown,Unknown country,U1,1945
07-MAY-1945,Curtiss C-46A,41-24715,USAAF,,near Chabua Airfield,India,A1,1945
07-MAY-1945,Curtiss C-46A,43-47161,USAAF,,,Myanmar,A1,1945
07-MAY-1945,Douglas C-47A (DC-3),43-15850,USAAF,0,Ywataung,Myanmar,A1,1945
08-MAY-1945,Douglas C-47A (DC-3),42-100818,USAAF,,Ergolding Advanc...,Germany,A1,1945
08-MAY-1945,Curtiss C-46D,44-77389,USAAF,,,Unknown country,A1,1945
08-MAY-1945,Douglas C-47A (DC-3),43-15323,USAAF,,Ergolding Advanc...,Germany,A1,1945
08-MAY-1945,Douglas C-47A (DC-3),43-15650,USAAF,,Cham,Germany,A1,1945
